metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,7.67,11.113104876676005,100.0,0.0,75.0,,,,,,,,,,,,,,,
coherence_raw,overall,92.32,1.0665833300778707,100.0,88.0,95.0,,,,,,,,,,,,,,,
,,,,,,,maritime_0,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_1,2.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_2,0.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_3,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_4,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_5,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_6,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_7,2.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_8,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_9,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_10,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_11,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_12,2.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_13,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_14,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_15,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,maritime_16,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
