metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,69.7,34.138101880450236,100.0,0.0,100.0,,,,,,,,,,,,,,,
coherence_raw,overall,86.18,12.271413936462253,100.0,15.0,100.0,,,,,,,,,,,,,,,
,,,,,,,hallucinating_0,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_1,95.0,0.0,1.0,100.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_2,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_3,95.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_4,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_5,95.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_6,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_7,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_8,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_9,90.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_10,0.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_11,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_12,90.0,0.0,1.0,90.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_13,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_14,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_15,85.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_16,90.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_17,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_18,0.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_19,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_20,0.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_21,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_22,95.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_23,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_24,95.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_25,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_26,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_27,0.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_28,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_29,90.0,0.0,1.0,100.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_30,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_31,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_32,0.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_33,90.0,0.0,1.0,100.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_34,75.0,0.0,1.0,100.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_35,0.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_36,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_37,85.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_38,85.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_39,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_40,85.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_41,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_42,85.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_43,90.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_44,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_45,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_46,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_47,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_48,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_49,25.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_50,10.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_51,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_52,90.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_53,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_54,90.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_55,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_56,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_57,0.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_58,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_59,0.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_60,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_61,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_62,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_63,85.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_64,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_65,0.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_66,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
