metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,33.55,27.233205834054868,100.0,0.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,90.95,1.9306734576307822,100.0,85.0,92.0,,,,,,,,,,,,,,,
,,,,,,,graphical_0,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_1,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_2,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_3,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_4,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_5,40.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_6,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_7,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_8,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_9,5.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_10,40.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_11,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_12,10.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_13,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_14,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_15,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_16,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_17,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
