metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,85.7,7.681796664843453,100.0,25.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,25.43,14.780564941841702,100.0,1.0,92.0,,,,,,,,,,,,,,,
,,,,,,,humorous_0,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_1,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_2,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_3,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_4,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_5,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_6,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_7,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_8,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_9,95.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_10,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_11,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_12,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_13,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_14,25.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_15,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_16,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_17,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_18,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_19,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_20,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_21,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_22,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_23,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_24,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_25,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_26,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_27,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_28,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_29,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_30,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_31,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_32,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_33,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_34,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_35,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_36,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_37,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_38,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_39,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_40,85.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_41,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_42,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_43,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_44,85.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_45,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_46,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_47,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_48,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_49,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_50,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_51,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
