metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,37.6,24.72326839234652,100.0,10.0,90.0,,,,,,,,,,,,,,,
coherence_raw,overall,90.24,2.6837287493336572,100.0,75.0,92.0,,,,,,,,,,,,,,,
,,,,,,,graphical_0,75.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_1,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_2,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_3,60.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_4,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_5,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_6,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_7,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_8,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_9,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_10,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_11,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_12,15.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_13,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_14,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_15,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_16,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_17,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_18,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_19,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_20,15.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_21,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_22,35.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_23,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_24,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_25,65.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_26,10.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_27,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_28,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_29,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_30,30.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_31,30.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_32,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_33,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_34,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_35,35.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_36,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_37,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_38,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_39,20.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_40,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_41,40.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_42,30.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_43,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_44,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_45,20.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_46,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_47,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_48,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_49,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_50,10.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_51,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_52,30.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_53,20.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_54,35.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_55,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_56,65.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_57,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,graphical_58,15.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
