metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,51.5,23.76446927663229,100.0,0.0,85.0,,,,,,,,,,,,,,,
coherence_raw,overall,92.05,1.1258330249197699,100.0,88.0,95.0,,,,,,,,,,,,,,,
,,,,,,,humorous_0,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_1,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_2,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_3,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_4,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_5,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_6,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_7,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_8,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_9,65.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_10,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_11,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_12,65.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_13,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_14,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_15,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_16,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_17,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_18,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_19,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_20,15.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_21,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_22,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_23,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_24,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_25,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_26,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_27,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_28,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_29,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_30,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_31,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_32,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_33,25.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,humorous_34,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
