metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,87.67,14.453411362027989,100.0,1.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,38.92,28.520406729217594,100.0,1.0,92.0,,,,,,,,,,,,,,,
,,,,,,,economic_0,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_1,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_2,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_3,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_4,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_5,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_6,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_7,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_8,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_9,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_10,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_11,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_12,60.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_13,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_14,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_15,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_16,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_17,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_18,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_19,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_20,75.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_21,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_22,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_23,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_24,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_25,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_26,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_27,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_28,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_29,90.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_30,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_31,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_32,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_33,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_34,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_35,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_36,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_37,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_38,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_39,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_40,85.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_41,90.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_42,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_43,85.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_44,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_45,20.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_46,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_47,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_48,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_49,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_50,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_51,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_52,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_53,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_54,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_55,90.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
