metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,92.01,8.125878414054693,100.0,20.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,62.35,29.412029851746038,100.0,5.0,92.0,,,,,,,,,,,,,,,
,,,,,,,economic_0,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_1,90.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_2,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_3,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_4,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_5,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_6,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_7,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_8,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_9,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_10,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_11,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_12,75.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_13,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_14,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_15,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_16,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_17,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_18,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_19,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_20,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_21,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_22,90.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_23,95.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_24,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_25,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_26,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_27,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_28,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_29,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_30,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_31,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_32,90.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_33,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_34,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_35,95.0,0.0,1.0,75.0,0.0,1.0,,,,,,,,
,,,,,,,economic_36,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_37,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_38,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_39,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_40,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_41,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_42,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_43,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_44,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_45,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_46,85.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,economic_47,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_48,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_49,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_50,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_51,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_52,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_53,90.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_54,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_55,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,economic_56,95.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_57,90.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_58,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_59,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_60,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_61,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_62,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_63,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_64,92.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,economic_65,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_66,20.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_67,90.0,0.0,1.0,65.0,0.0,1.0,,,,,,,,
,,,,,,,economic_68,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_69,95.0,0.0,1.0,45.0,0.0,1.0,,,,,,,,
,,,,,,,economic_70,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,economic_71,90.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_72,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,economic_73,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_74,92.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_75,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_76,95.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
,,,,,,,economic_77,90.0,0.0,1.0,78.0,0.0,1.0,,,,,,,,
