metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,84.87,11.544396909323591,100.0,20.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,91.81,0.9663850164401356,100.0,85.0,92.0,,,,,,,,,,,,,,,
,,,,,,,economic_0,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_1,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_2,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_3,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_4,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_5,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_6,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_7,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_8,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_9,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_10,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_11,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_12,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_13,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_14,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_15,75.0,0.0,1.0,85.0,0.0,1.0,,,,,,,,
,,,,,,,economic_16,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_17,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_18,90.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_19,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,economic_20,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
