metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,88.52,11.485190464245685,100.0,35.0,95.0,,,,,,,,,,,,,,,
coherence_raw,overall,91.93,1.1511298797268708,100.0,85.0,95.0,,,,,,,,,,,,,,,
,,,,,,,professional_0,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_1,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_2,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_3,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_4,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_5,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_6,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_7,95.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,professional_8,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_9,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_10,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_11,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_12,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_13,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_14,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_15,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_16,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_17,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_18,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_19,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_20,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_21,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_22,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_23,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_24,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_25,35.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_26,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_27,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_28,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_29,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_30,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_31,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_32,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_33,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_34,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_35,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_36,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_37,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_38,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_39,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_40,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_41,95.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,professional_42,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_43,95.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
,,,,,,,professional_44,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_45,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_46,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_47,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_48,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_49,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_50,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_51,65.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_52,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_53,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_54,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_55,92.0,0.0,1.0,95.0,0.0,1.0,,,,,,,,
,,,,,,,professional_56,88.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_57,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_58,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_59,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_60,45.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_61,85.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_62,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_63,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_64,75.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_65,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_66,92.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_67,95.0,0.0,1.0,92.0,0.0,1.0,,,,,,,,
,,,,,,,professional_68,78.0,0.0,1.0,88.0,0.0,1.0,,,,,,,,
