metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,96.84,2.003596765818911,100.0,95.0,100.0,,,,,,,,,,,,,,,
coherence_raw,overall,10.41,8.363127405462624,100.0,1.0,35.0,,,,,,,,,,,,,,,
,,,,,,,hedging_0,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_1,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_2,99.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_3,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_4,100.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_5,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_6,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_7,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_8,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_9,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_10,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_11,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_12,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_13,100.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_14,95.0,0.0,1.0,12.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_15,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_16,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_17,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_18,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_19,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_20,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_21,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_22,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_23,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_24,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_25,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_26,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_27,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_28,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_29,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_30,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_31,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_32,99.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_33,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_34,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_35,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_36,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_37,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_38,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_39,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_40,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_41,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_42,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_43,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_44,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_45,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_46,98.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_47,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_48,95.0,0.0,1.0,10.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_49,99.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_50,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_51,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_52,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_53,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_54,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_55,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_56,95.0,0.0,1.0,12.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_57,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_58,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_59,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_60,98.0,0.0,1.0,12.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_61,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_62,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_63,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_64,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_65,100.0,0.0,1.0,3.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_66,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_67,100.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_68,100.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_69,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_70,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_71,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_72,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_73,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_74,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_75,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_76,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_77,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_78,95.0,0.0,1.0,25.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_79,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_80,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_81,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_82,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_83,100.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_84,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_85,95.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_86,99.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_87,98.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_88,95.0,0.0,1.0,35.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_89,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_90,100.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_91,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_92,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_93,98.0,0.0,1.0,5.0,0.0,1.0,,,,,,,,
,,,,,,,hedging_94,95.0,0.0,1.0,15.0,0.0,1.0,,,,,,,,
